seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
16,25,0.25,1,518,25423.32753,FALSE,TRUE,2.9
17,25,0.25,1,2151,104596.5676,FALSE,TRUE,2.9
18,25,0.25,1,4419,216092.1131,FALSE,TRUE,2.9
19,25,0.25,1,599,29263.24774,FALSE,TRUE,2.9
0,25,0.25,1,374,20807.5649,FALSE,TRUE,3.1
1,25,0.25,1,1712,95132.03929,FALSE,TRUE,3.1
2,25,0.25,1,760,41929.38832,FALSE,TRUE,3.1
3,25,0.25,1,652,36528.5795,FALSE,TRUE,3.1
4,25,0.25,1,960,53325.28693,FALSE,TRUE,3.1
5,25,0.25,1,706,39086.86301,FALSE,TRUE,3.1
6,25,0.25,1,471,26122.07832,FALSE,TRUE,3.1
7,25,0.25,1,436,24209.16345,FALSE,TRUE,3.1
8,25,0.25,1,531,29545.56719,FALSE,TRUE,3.1
9,25,0.25,1,3993,220842.6152,FALSE,TRUE,3.1
10,25,0.25,1,1177,65188.47775,FALSE,TRUE,3.1
11,25,0.25,1,527,29357.1778,FALSE,TRUE,3.1
12,25,0.25,1,273,15160.71323,FALSE,TRUE,3.1
13,25,0.25,1,287,16082.78357,FALSE,TRUE,3.1
14,25,0.25,1,226,12663.57824,FALSE,TRUE,3.1
15,25,0.25,1,644,35612.323,FALSE,TRUE,3.1
16,25,0.25,1,27,1755.481822,FALSE,TRUE,3.1
17,25,0.25,1,1404,78090.56552,FALSE,TRUE,3.1
18,25,0.25,1,1264,70039.58098,FALSE,TRUE,3.1
19,25,0.25,1,1352,74980.09219,FALSE,TRUE,3.1
0,25,0.25,1,207,13633.60936,FALSE,TRUE,3.3
1,25,0.25,1,137,9182.84437,FALSE,TRUE,3.3
2,25,0.25,1,520,34155.35491,FALSE,TRUE,3.3
3,25,0.25,1,704,45849.81956,FALSE,TRUE,3.3
4,25,0.25,1,184,12220.0243,FALSE,TRUE,3.3
5,25,0.25,1,351,22882.0365,FALSE,TRUE,3.3
6,25,0.25,1,453,29402.10926,FALSE,TRUE,3.3
7,25,0.25,1,994,65019.5508,FALSE,TRUE,3.3
8,25,0.25,1,882,57206.55466,FALSE,TRUE,3.3
9,25,0.25,1,181,11979.92937,FALSE,TRUE,3.3
10,25,0.25,1,34,2440.78039,FALSE,TRUE,3.3
11,25,0.25,1,219,14454.86265,FALSE,TRUE,3.3
12,25,0.25,1,402,26357.52861,FALSE,TRUE,3.3
13,25,0.25,1,755,49497.94982,FALSE,TRUE,3.3
14,25,0.25,1,295,19358.66396,FALSE,TRUE,3.3
15,25,0.25,1,245,16265.65639,FALSE,TRUE,3.3
16,25,0.25,1,122,8101.448712,FALSE,TRUE,3.3
17,25,0.25,1,215,14078.40356,FALSE,TRUE,3.3
18,25,0.25,1,111,7485.849379,FALSE,TRUE,3.3
19,25,0.25,1,83,5652.99515,FALSE,TRUE,3.3
0,25,0.25,1,185,14625.3562,FALSE,TRUE,3.5
1,25,0.25,1,346,27417.03654,FALSE,TRUE,3.5
2,25,0.25,1,69,5518.020124,FALSE,TRUE,3.5
3,25,0.25,1,63,5129.719639,FALSE,TRUE,3.5
4,25,0.25,1,39,3249.797446,FALSE,TRUE,3.5
5,25,0.25,1,84,6889.263639,FALSE,TRUE,3.5
6,25,0.25,1,140,11237.95049,FALSE,TRUE,3.5
7,25,0.25,1,22,1971.111025,FALSE,TRUE,3.5
8,25,0.25,1,31,2667.916868,FALSE,TRUE,3.5
9,25,0.25,1,37,3092.773882,FALSE,TRUE,3.5
10,25,0.25,1,77,6252.288918,FALSE,TRUE,3.5
11,25,0.25,1,259,20506.51277,FALSE,TRUE,3.5
12,25,0.25,1,20,1810.187325,FALSE,TRUE,3.5
13,25,0.25,1,215,17125.37913,FALSE,TRUE,3.5
14,25,0.25,1,72,5923.634208,FALSE,TRUE,3.5
15,25,0.25,1,57,4677.572404,FALSE,TRUE,3.5
16,25,0.25,1,21,1871.79519,FALSE,TRUE,3.5
17,25,0.25,1,90,7276.328481,FALSE,TRUE,3.5
18,25,0.25,1,75,6009.315981,FALSE,TRUE,3.5
19,25,0.25,1,73,5948.134356,FALSE,TRUE,3.5
0,25,0.25,1,18,1893.912131,FALSE,TRUE,3.7
1,25,0.25,1,21,2221.059664,FALSE,TRUE,3.7
2,25,0.25,1,28,2908.405812,FALSE,TRUE,3.7
3,25,0.25,1,19,2018.178152,FALSE,TRUE,3.7
4,25,0.25,1,13,1445.239966,FALSE,TRUE,3.7
5,25,0.25,1,22,2375.255207,FALSE,TRUE,3.7
6,25,0.25,1,22,2307.408335,FALSE,TRUE,3.7
7,25,0.25,1,38,3911.671252,FALSE,TRUE,3.7
8,25,0.25,1,31,3136.079662,FALSE,TRUE,3.7
9,25,0.25,1,23,2483.614675,FALSE,TRUE,3.7
10,25,0.25,1,16,1755.130956,FALSE,TRUE,3.7
11,25,0.25,1,31,3228.288996,FALSE,TRUE,3.7
12,25,0.25,1,27,2828.951883,FALSE,TRUE,3.7
13,25,0.25,1,11,1245.679057,FALSE,TRUE,3.7
14,25,0.25,1,38,3865.956588,FALSE,TRUE,3.7
