seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,iteration_interval
1,32,32,24.8,451,862.5159583,TRUE,TRUE,0.1
1,32,32,25,476,864.8061036,TRUE,TRUE,0.1
1,32,32,25.2,441,847.4555589,TRUE,TRUE,0.1
1,32,32,25.4,477,868.4940262,TRUE,TRUE,0.1
1,32,32,25.6,410,875.1607786,TRUE,TRUE,0.1
1,32,32,25.8,450,903.6166845,TRUE,TRUE,0.1
1,32,32,26,496,933.4059216,TRUE,TRUE,0.1
1,32,32,26.2,433,887.9805529,TRUE,TRUE,0.1
1,32,32,26.4,490,955.1733603,TRUE,TRUE,0.1
1,32,32,26.6,462,895.837297,TRUE,TRUE,0.1
1,32,32,26.8,395,837.9852683,TRUE,TRUE,0.1
1,32,32,27,440,875.5139189,TRUE,TRUE,0.1
1,32,32,27.2,472,921.3390396,TRUE,TRUE,0.1
1,32,32,27.4,472,852.4554619,TRUE,TRUE,0.1
1,32,32,27.6,462,873.3882164,TRUE,TRUE,0.1
1,32,32,27.8,471,905.9008132,TRUE,TRUE,0.1
1,32,32,28,447,879.7407151,TRUE,TRUE,0.1
1,32,32,28.2,459,920.1327394,TRUE,TRUE,0.1
1,32,32,28.4,455,882.1372699,TRUE,TRUE,0.1
1,32,32,28.6,454,861.5050888,TRUE,TRUE,0.1
1,32,32,28.8,428,841.2282937,TRUE,TRUE,0.1
1,32,32,29,461,874.0978728,TRUE,TRUE,0.1
1,32,32,29.2,476,908.2492696,TRUE,TRUE,0.1
1,32,32,29.4,445,893.0048909,TRUE,TRUE,0.1
1,32,32,29.6,478,880.1951114,TRUE,TRUE,0.1
1,32,32,29.8,498,878.4908399,TRUE,TRUE,0.1
1,32,32,30,460,893.276947,TRUE,TRUE,0.1
1,32,32,30.2,487,909.8460753,TRUE,TRUE,0.1
1,32,32,30.4,499,934.1521936,TRUE,TRUE,0.1
1,32,32,30.6,445,842.297839,TRUE,TRUE,0.1
1,32,32,30.8,472,859.1029406,TRUE,TRUE,0.1
1,32,32,31,447,877.4270091,TRUE,TRUE,0.1
1,32,32,31.2,443,870.6537503,TRUE,TRUE,0.1
1,32,32,31.4,501,886.5088758,TRUE,TRUE,0.1
1,32,32,31.6,520,911.1852228,TRUE,TRUE,0.1
1,32,32,31.8,492,896.7291101,TRUE,TRUE,0.1
1,32,32,32,403,838.8559473,TRUE,TRUE,0.1
1,32,32,32.2,501,916.287845,TRUE,TRUE,0.1
1,32,32,32.4,506,861.7188272,TRUE,TRUE,0.1
1,32,32,32.6,491,901.0246777,TRUE,TRUE,0.1
1,32,32,32.8,464,894.7205139,TRUE,TRUE,0.1
1,32,32,33,454,845.3978905,TRUE,TRUE,0.1
1,32,32,33.2,477,879.7323452,TRUE,TRUE,0.1
1,32,32,33.4,497,892.4194171,TRUE,TRUE,0.1
1,32,32,33.6,492,839.1533953,TRUE,TRUE,0.1
1,32,32,33.8,436,827.422617,TRUE,TRUE,0.1
1,32,32,34,441,852.3180321,TRUE,TRUE,0.1
1,32,32,34.2,482,863.107525,TRUE,TRUE,0.1
1,32,32,34.4,469,851.7965292,TRUE,TRUE,0.1
1,32,32,34.6,437,822.6986339,TRUE,TRUE,0.1
1,32,32,34.8,478,829.637978,TRUE,TRUE,0.1
1,32,32,35,499,819.8692461,TRUE,TRUE,0.1
1,32,32,35.2,481,892.726342,TRUE,TRUE,0.1
1,32,32,35.4,533,846.3626712,TRUE,TRUE,0.1
1,32,32,35.6,527,853.7791078,TRUE,TRUE,0.1
1,32,32,35.8,474,868.1727348,TRUE,TRUE,0.1
1,32,32,36,453,820.6869665,TRUE,TRUE,0.1
1,32,32,36.2,461,850.1421528,TRUE,TRUE,0.1
1,32,32,36.4,479,897.925633,TRUE,TRUE,0.1
1,32,32,36.6,476,828.997177,TRUE,TRUE,0.1
1,32,32,36.8,500,891.699984,TRUE,TRUE,0.1
1,32,32,37,485,879.4471104,TRUE,TRUE,0.1
1,32,32,37.2,496,856.8602296,TRUE,TRUE,0.1
1,32,32,37.4,527,871.5127579,TRUE,TRUE,0.1
