seed,robot count,iteration_interval,spring_constant,damping_coefficient,iteration,connectivity,converged,moved_distance,sum_consumed_energy,max_consumed_energy
1,32,0.1,0.4,3.9,3840,TRUE,TRUE,3074.828672,14888.25919,524.9582103
1,32,0.1,0.4,3.95,4717,TRUE,TRUE,3026.900954,16190.83182,617.2052941
1,32,0.1,0.4,4,3179,TRUE,TRUE,2941.610164,13507.48395,494.9887934
1,32,0.1,0.4,4.05,4552,TRUE,TRUE,3032.142916,16013.31728,584.939729
1,32,0.1,0.4,4.1,3108,TRUE,TRUE,3002.113067,13572.11992,471.0983014
1,32,0.1,0.4,4.15,4306,TRUE,TRUE,3095.613024,15761.60033,558.249783
1,32,0.1,0.4,4.2,3329,TRUE,TRUE,3049.102978,13944.60122,499.5848809
1,32,0.1,0.4,4.25,3836,TRUE,TRUE,3130.519163,15059.35659,529.2086675
1,32,0.1,0.4,4.3,4601,TRUE,TRUE,3178.950261,16369.86412,574.3422251
1,32,0.1,0.4,4.35,5118,TRUE,TRUE,3056.932881,16989.40448,644.2266245
1,32,0.1,0.4,4.4,5251,TRUE,TRUE,3084.583981,17173.90297,598.8618104
1,32,0.1,0.4,4.45,5316,TRUE,TRUE,3102.509903,17564.03501,644.1601265
1,32,0.1,0.4,4.5,5126,TRUE,TRUE,3163.999233,17107.19885,609.7326408
1,32,0.1,0.4,4.55,4872,TRUE,TRUE,3132.748323,16953.60141,588.9058389
1,32,0.1,0.4,4.6,3703,TRUE,TRUE,3006.037063,14625.70121,500.0877156
1,32,0.1,0.4,4.65,4358,TRUE,TRUE,3057.475592,15821.21616,548.5138765
1,32,0.1,0.4,4.7,3673,TRUE,TRUE,3013.751182,14629.72575,502.9882467
1,32,0.1,0.4,4.75,3951,TRUE,TRUE,3140.338737,15378.48729,550.1105522
1,32,0.1,0.4,4.8,6053,TRUE,TRUE,3282.5003,18972.64407,690.1406364
1,32,0.1,0.4,4.85,4445,TRUE,TRUE,2984.430522,15807.59185,544.196737
1,32,0.1,0.4,4.9,4852,TRUE,TRUE,3134.40202,16864.01609,595.144724
1,32,0.1,0.4,4.95,5899,TRUE,TRUE,3194.904727,18610.22999,663.9311828
1,32,0.1,0.4,5,4001,TRUE,TRUE,3052.3782,15082.95862,561.0473703
2,32,0.1,0.4,0.1,12801,TRUE,FALSE,5080.190937,33780.70884,1454.478668
2,32,0.1,0.4,0.15,3811,TRUE,TRUE,4242.313032,16906.31151,584.2770711
