seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged
10,2,0.5,3,97,3.053368573,TRUE,TRUE
10,2,0.5,3.2,136,8.291530351,TRUE,TRUE
10,2,0.5,3.4,160,11.8768266,TRUE,TRUE
10,2,0.5,3.6,129,4.913585828,TRUE,TRUE
10,2,0.5,3.8,87,1.34935803,TRUE,TRUE
10,2,0.5,4,159,7.829026838,TRUE,TRUE
10,2,0.5,4.2,182,10.95183692,TRUE,TRUE
10,2,0.5,4.4,156,5.687064947,TRUE,TRUE
10,2,0.5,4.6,132,3.014003843,TRUE,TRUE
10,2,0.5,4.8,1,0,TRUE,TRUE
11,2,0.5,0.2,58,7.539303815,TRUE,TRUE
11,2,0.5,0.4,70,10.07757864,TRUE,TRUE
11,2,0.5,0.6,65,9.132427355,TRUE,TRUE
11,2,0.5,0.8,80,12.25262043,TRUE,TRUE
11,2,0.5,1,44,4.471253275,TRUE,TRUE
11,2,0.5,1.2,62,7.994592486,TRUE,TRUE
11,2,0.5,1.4,59,6.467652188,TRUE,TRUE
11,2,0.5,1.6,58,4.935606261,TRUE,TRUE
11,2,0.5,1.8,50,1.726183897,TRUE,TRUE
11,2,0.5,2,1,0,TRUE,TRUE
11,2,0.5,2.2,97,7.625463756,TRUE,TRUE
11,2,0.5,2.4,126,12.15171834,TRUE,TRUE
11,2,0.5,2.6,126,10.5589726,TRUE,TRUE
11,2,0.5,2.8,88,2.704136896,TRUE,TRUE
11,2,0.5,3,114,5.354994024,TRUE,TRUE
11,2,0.5,3.2,146,10.28372507,TRUE,TRUE
11,2,0.5,3.4,154,10.57539529,TRUE,TRUE
11,2,0.5,3.6,140,6.510773965,TRUE,TRUE
11,2,0.5,3.8,138,5.400036862,TRUE,TRUE
11,2,0.5,4,153,6.844643622,TRUE,TRUE
11,2,0.5,4.2,87,1.143059466,TRUE,TRUE
11,2,0.5,4.4,176,8.734175877,TRUE,TRUE
11,2,0.5,4.6,176,7.706450286,TRUE,TRUE
11,2,0.5,4.8,1,0,TRUE,TRUE
12,2,0.5,0.2,56,7.166013284,TRUE,TRUE
12,2,0.5,0.4,78,11.85701531,TRUE,TRUE
12,2,0.5,0.6,48,5.473074739,TRUE,TRUE
12,2,0.5,0.8,66,9.283234212,TRUE,TRUE
12,2,0.5,1,48,5.411093383,TRUE,TRUE
12,2,0.5,1.2,76,10.90733193,TRUE,TRUE
12,2,0.5,1.4,43,2.256489797,TRUE,TRUE
12,2,0.5,1.6,57,4.875954505,TRUE,TRUE
12,2,0.5,1.8,79,7.876699538,TRUE,TRUE
12,2,0.5,2,85,7.037205348,TRUE,TRUE
12,2,0.5,2.2,89,5.92227435,TRUE,TRUE
12,2,0.5,2.4,1,0,TRUE,TRUE
12,2,0.5,2.6,117,8.605999496,TRUE,TRUE
12,2,0.5,2.8,120,7.677289107,TRUE,TRUE
12,2,0.5,3,125,7.366879892,TRUE,TRUE
12,2,0.5,3.2,139,8.788573871,TRUE,TRUE
12,2,0.5,3.4,125,5.127389221,TRUE,TRUE
12,2,0.5,3.6,145,7.379986628,TRUE,TRUE
12,2,0.5,3.8,117,3.151943053,TRUE,TRUE
12,2,0.5,4,152,6.591974302,TRUE,TRUE
12,2,0.5,4.2,1,0,TRUE,TRUE
12,2,0.5,4.4,184,10.22326715,TRUE,TRUE
12,2,0.5,4.6,194,10.85140853,TRUE,TRUE
12,2,0.5,4.8,162,5.229500679,TRUE,TRUE
13,2,0.5,0.2,40,3.740756481,TRUE,TRUE
13,2,0.5,0.4,67,9.459918141,TRUE,TRUE
13,2,0.5,0.6,73,10.6812172,TRUE,TRUE
13,2,0.5,0.8,43,4.368827085,TRUE,TRUE
13,2,0.5,1,60,7.999922424,TRUE,TRUE
13,2,0.5,1.2,62,7.931533327,TRUE,TRUE
13,2,0.5,1.4,77,10.31883516,TRUE,TRUE
13,2,0.5,1.6,83,10.4139664,TRUE,TRUE
13,2,0.5,1.8,89,9.967990816,TRUE,TRUE
13,2,0.5,2,105,11.25595755,TRUE,TRUE
13,2,0.5,2.2,115,11.3986665,TRUE,TRUE
13,2,0.5,2.4,109,8.568848382,TRUE,TRUE
13,2,0.5,2.6,125,10.25114845,TRUE,TRUE
13,2,0.5,2.8,133,10.51511177,TRUE,TRUE
13,2,0.5,3,129,8.116324029,TRUE,TRUE
13,2,0.5,3.2,101,2.952002226,TRUE,TRUE
13,2,0.5,3.4,145,8.768514669,TRUE,TRUE
13,2,0.5,3.6,150,8.456989803,TRUE,TRUE
13,2,0.5,3.8,119,3.332292745,TRUE,TRUE
13,2,0.5,4,144,5.482136381,TRUE,TRUE
13,2,0.5,4.2,175,9.640831255,TRUE,TRUE
13,2,0.5,4.4,106,1.786453631,TRUE,TRUE
13,2,0.5,4.6,1,0,TRUE,TRUE
13,2,0.5,4.8,181,7.6586087,TRUE,TRUE
14,2,0.5,0.2,72,10.52659774,TRUE,TRUE
14,2,0.5,0.4,91,14.57227276,TRUE,TRUE
14,2,0.5,0.6,78,11.77267279,TRUE,TRUE
14,2,0.5,0.8,40,3.445117101,TRUE,TRUE
14,2,0.5,1,63,8.461175925,TRUE,TRUE
14,2,0.5,1.2,82,12.09849426,TRUE,TRUE
14,2,0.5,1.4,81,11.19610757,TRUE,TRUE
14,2,0.5,1.6,95,13.36243334,TRUE,TRUE
14,2,0.5,1.8,1,0,TRUE,TRUE
14,2,0.5,2,68,3.335837703,TRUE,TRUE
14,2,0.5,2.2,86,5.22187617,TRUE,TRUE
14,2,0.5,2.4,110,8.759473759,TRUE,TRUE
14,2,0.5,2.6,137,13.6011827,TRUE,TRUE
14,2,0.5,2.8,127,9.129740774,TRUE,TRUE
14,2,0.5,3,103,3.783130376,TRUE,TRUE
14,2,0.5,3.2,125,6.0827269,TRUE,TRUE
